title,itinerary,cabin,segments,xp_total,price_eur,eur_per_xp,travel_dates,carrier,notes,pubdate_utc
AMS-HEL (Economy),AMS-HEL,Economy,4,20,395.79,19.79,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,395.79,19.79,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,395.79,19.79,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,395.79,19.79,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,397.13,19.86,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,397.13,19.86,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,397.13,19.86,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,397.13,19.86,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,415.79,20.79,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,415.79,20.79,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,415.79,20.79,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,415.79,20.79,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,415.79,20.79,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,415.79,20.79,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,415.79,20.79,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,415.79,20.79,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,417.13,20.86,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,417.13,20.86,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,417.13,20.86,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,417.13,20.86,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,417.13,20.86,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,417.13,20.86,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,417.13,20.86,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,417.13,20.86,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,417.13,20.86,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,417.13,20.86,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,418.47,20.92,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,418.47,20.92,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,419.79,20.99,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,419.79,20.99,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,439.79,21.99,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,439.79,21.99,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,439.79,21.99,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,439.79,21.99,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,441.13,22.06,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,441.13,22.06,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,441.13,22.06,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,442.47,22.12,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,442.47,22.12,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,448.79,22.44,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,448.79,22.44,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,450.13,22.51,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,450.13,22.51,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,450.79,22.54,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,450.79,22.54,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,452.13,22.61,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,452.13,22.61,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,469.79,23.49,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,469.79,23.49,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,469.79,23.49,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,469.79,23.49,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,469.79,23.49,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,469.79,23.49,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,469.79,23.49,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,469.79,23.49,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,470.1,23.51,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,470.1,23.51,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,471.13,23.56,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,471.13,23.56,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,471.13,23.56,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,471.13,23.56,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,471.13,23.56,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,471.44,23.57,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,471.44,23.57,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
DUS-HEL (Economy),DUS-HEL,Economy,4,20,525.75,26.29,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:47:26Z
DUS-HEL (Economy),DUS-HEL,Economy,4,20,525.75,26.29,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:47:26Z
DUS-HEL (Economy),DUS-HEL,Economy,4,20,525.75,26.29,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:47:36Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,542.1,27.11,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:29Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,542.1,27.11,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,542.1,27.11,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
DUS-HEL (Economy),DUS-HEL,Economy,4,20,558.75,27.94,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:47:36Z
DUS-HEL (Economy),DUS-HEL,Economy,4,20,605.75,30.29,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:47:36Z
DUS-HEL (Economy),DUS-HEL,Economy,4,20,606.75,30.34,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:47:26Z
DUS-HEL (Economy),DUS-HEL,Economy,4,20,606.75,30.34,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:47:26Z
DUS-HEL (Economy),DUS-HEL,Economy,4,20,606.75,30.34,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:47:36Z
DUS-HEL (Economy),DUS-HEL,Economy,4,20,639.75,31.99,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:47:36Z
DUS-HEL (Economy),DUS-HEL,Economy,4,20,647.75,32.39,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:47:26Z
DUS-HEL (Economy),DUS-HEL,Economy,4,20,647.75,32.39,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:47:26Z
DUS-HEL (Economy),DUS-HEL,Economy,4,20,647.75,32.39,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:47:36Z
DUS-HEL (Economy),DUS-HEL,Economy,4,20,680.75,34.04,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:47:36Z
DUS-HEL (Economy),DUS-HEL,Economy,4,20,686.75,34.34,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:47:36Z
DUS-HEL (Economy),DUS-HEL,Economy,4,20,727.75,36.39,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:47:26Z
DUS-HEL (Economy),DUS-HEL,Economy,4,20,727.75,36.39,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:47:36Z
AMS-HEL (Economy),AMS-HEL,Economy,3,15,579.56,38.64,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,3,15,579.56,38.64,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
DUS-HEL (Economy),DUS-HEL,Economy,4,20,808.75,40.44,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:47:26Z
AMS-HEL (Economy),AMS-HEL,Economy,3,15,606.56,40.44,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,3,15,606.56,40.44,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,3,15,606.56,40.44,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,3,15,606.56,40.44,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,3,15,606.56,40.44,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,3,15,606.56,40.44,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,817.29,40.86,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:19Z
AMS-HEL (Economy),AMS-HEL,Economy,4,20,817.29,40.86,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:32Z
AMS-HEL (Economy),AMS-HEL,Economy,3,15,616.56,41.1,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
AMS-HEL (Economy),AMS-HEL,Economy,3,15,616.56,41.1,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
DUS-HEL (Economy),DUS-HEL,Economy,4,20,849.75,42.49,2025-11-27 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:47:26Z
AMS-HEL (Economy),AMS-HEL,Economy,3,15,662.56,44.17,2025-11-28 to 2025-12-05,SkyTeam,unfiltered,2025-11-27T06:43:38Z
